Move [0 - 0_GuiClient]: White Horse (0, 1) --> (2, 2)
Move [1 - 1_ClaudioClient]: Black Horse (7, 1) --> (5, 0)
Move [2 - 0_GuiClient]: White Pawn (1, 4) --> (3, 4)
Move [3 - 1_ClaudioClient]: Black Horse (5, 0) --> (7, 1)
Move [4 - 0_GuiClient]: White Horse (0, 6) --> (2, 5)
Move [5 - 1_ClaudioClient]: Black Horse (7, 1) --> (5, 2)
Move [6 - 0_GuiClient]: White Bishop (0, 5) --> (4, 1)
Move [7 - 1_ClaudioClient]: Black Horse (5, 2) --> (7, 1)
Move [8 - 0_GuiClient]: White Pawn (3, 4) --> (4, 4)
Move [9 - 1_ClaudioClient]: Black Pawn (6, 0) --> (5, 0)
Move [10 - 0_GuiClient]: White Bishop (4, 1) --> (3, 0)
Move [11 - 1_ClaudioClient]: Black Tower (7, 0) --> (6, 0)
Move [12 - 0_GuiClient]: White Pawn (1, 3) --> (3, 3)
Move [13 - 1_ClaudioClient]: Black Pawn (6, 1) --> (4, 1)
Move [14 - 0_GuiClient]: White Bishop (3, 0) --> (2, 1)
Move [15 - 1_ClaudioClient]: Black Bishop (7, 2) --> (6, 1)
Move [16 - 0_GuiClient]: White Pawn (3, 3) --> (4, 3)
Move [17 - 1_ClaudioClient]: Black Pawn (4, 1) --> (3, 1)
Move [18 - 0_GuiClient]: White Bishop (0, 2) --> (2, 4)
Move [19 - 1_ClaudioClient]: Black Tower (6, 0) --> (7, 0)
Move [20 - 0_GuiClient]: White Horse (2, 2) --> (3, 4)
Move [21 - 1_ClaudioClient]: Black Pawn (6, 5) --> (4, 5)
Move [22 - 0_GuiClient]: White Horse (3, 4) --> (4, 2)
Move [23 - 1_ClaudioClient]: Black Tower (7, 0) --> (6, 0)
Move [24 - 0_GuiClient]: White Horse (4, 2) --> (5, 4)
Move [25 - 1_ClaudioClient]: Black Pawn (6, 3) --> (5, 4) eaten White Horse
Move [26 - 0_GuiClient]: White Bishop (2, 4) --> (6, 0) eaten Black Tower
Move [27 - 1_ClaudioClient]: Black Horse (7, 1) --> (5, 2)
Move [28 - 0_GuiClient]: White Pawn (4, 3) --> (5, 2) eaten Black Horse
Move [29 - 1_ClaudioClient]: Black Queen (7, 3) --> (7, 0)
Move [30 - 0_GuiClient]: White Queen (0, 3) --> (6, 3)
Move [31 - 1_ClaudioClient]: Black King (7, 4) --> (6, 5)
Move [32 - 0_GuiClient]: White Bishop (2, 1) --> (5, 4) eaten Black Pawn
Move [33 - 1_ClaudioClient]: Black King (6, 5) --> (5, 6)
Move [34 - 0_GuiClient]: White Pawn (5, 2) --> (6, 1) eaten Black Bishop
Move [35 - 1_ClaudioClient]: Black Queen (7, 0) --> (6, 0) eaten White Bishop
Move [36 - 0_GuiClient]: White Bishop (5, 4) --> (4, 5) eaten Black Pawn
Move [37 - 1_ClaudioClient]: Black King (5, 6) --> (6, 5)
Move [38 - 0_GuiClient]: White Horse (2, 5) --> (4, 6)
Move [39 - 1_ClaudioClient]: Black Queen (6, 0) --> (2, 4)
Move [40 - 0_GuiClient]: White Pawn (1, 5) --> (2, 4) eaten Black Queen
Move [41 - 1_ClaudioClient]: Black Horse (7, 6) --> (5, 5)
Move [42 - 0_GuiClient]: White Bishop (4, 5) --> (6, 7) eaten Black Pawn
Move [43 - 1_ClaudioClient]: Black Horse (5, 5) --> (6, 3) eaten White Queen
Move [44 - 0_GuiClient]: White Horse (4, 6) --> (6, 5) eaten Black King
Player 0 - 0_GuiClient: White wins. Game finished. 
