Move [0 - Client]: White Pawn (1, 2) --> (2, 2)
Move [1 - Random]: Black Pawn (6, 0) --> (5, 0)
Move [2 - Client]: White Pawn (1, 5) --> (2, 5)
Move [3 - Random]: Black Pawn (6, 6) --> (4, 6)
Move [4 - Client]: White Pawn (1, 1) --> (2, 1)
Move [5 - Random]: Black Pawn (6, 3) --> (5, 3)
Move [6 - Client]: White Pawn (1, 6) --> (2, 6)
Move [7 - Random]: Black Bishop (7, 2) --> (5, 4)
Move [8 - Client]: White Pawn (1, 0) --> (3, 0)
Move [9 - Random]: Black Bishop (5, 4) --> (2, 1) eaten White Pawn
Move [10 - Client]: White Pawn (1, 7) --> (3, 7)
Move [11 - Random]: Black Pawn (5, 3) --> (4, 3)
Move [12 - Client]: White King (0, 4) --> (1, 5)
Move [13 - Random]: Black Pawn (6, 1) --> (5, 1)
Move [14 - Client]: White King (1, 5) --> (2, 4)
Move [15 - Random]: Black Queen (7, 3) --> (6, 3)
Move [16 - Client]: White King (2, 4) --> (3, 4)
Move [17 - Random]: Black Horse (7, 6) --> (5, 5)
Move [18 - Client]: White King (3, 4) --> (4, 4)
Move [19 - Random]: Black Queen (6, 3) --> (2, 7)
Move [20 - Client]: White Queen (0, 3) --> (0, 4)
Move [21 - Random]: Black Pawn (6, 5) --> (4, 5)
Move [22 - Client]: White Queen (0, 4) --> (0, 3)
Move [23 - Random]: Black King (7, 4) --> (6, 3)
Move [24 - Client]: White King (4, 4) --> (5, 4)
Move [25 - Random]: Black Bishop (7, 5) --> (6, 6)
Move [26 - Client]: White Tower (0, 0) --> (1, 0)
Move [27 - Random]: Black Tower (7, 0) --> (6, 0)
Move [28 - Client]: White Tower (1, 0) --> (0, 0)
Move [29 - Random]: Black Tower (7, 7) --> (7, 6)
Move [30 - Client]: White Tower (0, 0) --> (1, 0)
Move [31 - Random]: Black Bishop (2, 1) --> (0, 3) eaten White Queen
Move [32 - Client]: White Tower (1, 0) --> (0, 0)
Move [33 - Random]: Black Horse (5, 5) --> (4, 7)
Move [34 - Client]: White Tower (0, 0) --> (1, 0)
Move [35 - Random]: Black King (6, 3) --> (7, 3)
Move [36 - Client]: White King (5, 4) --> (6, 4) eaten Black Pawn
Move [37 - Random]: Black Horse (4, 7) --> (3, 5)
Move [38 - Client]: White Tower (1, 0) --> (0, 0)
Move [39 - Random]: Black Horse (3, 5) --> (4, 7)
Move [40 - Client]: White Tower (0, 0) --> (1, 0)
Move [41 - Random]: Black Bishop (6, 6) --> (2, 2) eaten White Pawn
Move [42 - Client]: White Tower (1, 0) --> (0, 0)
Move [43 - Random]: Black Queen (2, 7) --> (1, 7)
Move [44 - Client]: White Tower (0, 0) --> (1, 0)
Move [45 - Random]: Black Queen (1, 7) --> (3, 7) eaten White Pawn
Move [46 - Client]: White Tower (1, 0) --> (0, 0)
Move [47 - Random]: Black Tower (7, 6) --> (6, 6)
Move [48 - Client]: White Tower (0, 0) --> (1, 0)
Move [49 - Random]: Black Queen (3, 7) --> (3, 5)
Move [50 - Client]: White Tower (1, 0) --> (0, 0)
Move [51 - Random]: Black Queen (3, 5) --> (2, 6) eaten White Pawn
Move [52 - Client]: White Tower (0, 0) --> (1, 0)
Move [53 - Random]: Black Pawn (6, 2) --> (4, 2)
Move [54 - Client]: White Tower (1, 0) --> (0, 0)
Move [55 - Random]: Black Bishop (2, 2) --> (1, 1)
Move [56 - Client]: White Tower (0, 0) --> (1, 0)
Move [57 - Random]: Black Horse (4, 7) --> (5, 5)
Move [58 - Client]: White Tower (1, 0) --> (0, 0)
Move [59 - Random]: Black Bishop (0, 3) --> (1, 4) eaten White Pawn
Move [60 - Client]: White Tower (0, 0) --> (1, 0)
Move [61 - Random]: Black Bishop (1, 1) --> (3, 3)
Move [62 - Client]: White Tower (1, 0) --> (0, 0)
Move [63 - Random]: Black Bishop (1, 4) --> (0, 3)
Move [64 - Client]: White Tower (0, 0) --> (1, 0)
Move [65 - Random]: Black Queen (2, 6) --> (3, 5)
Move [66 - Client]: White Tower (1, 0) --> (0, 0)
Move [67 - Random]: Black Queen (3, 5) --> (2, 4)
Move [68 - Client]: White Tower (0, 0) --> (1, 0)
Move [69 - Random]: Black Bishop (0, 3) --> (1, 4)
Move [70 - Client]: White Tower (1, 0) --> (0, 0)
Move [71 - Random]: Black Bishop (1, 4) --> (2, 5) eaten White Pawn
Move [72 - Client]: White Tower (0, 0) --> (1, 0)
Move [73 - Random]: Black Bishop (3, 3) --> (2, 2)
Move [74 - Client]: White Tower (1, 0) --> (0, 0)
Move [75 - Random]: Black Queen (2, 4) --> (1, 5)
Move [76 - Client]: White Tower (0, 0) --> (1, 0)
Move [77 - Random]: Black Pawn (4, 2) --> (3, 2)
Move [78 - Client]: White Tower (1, 0) --> (0, 0)
Move [79 - Random]: Black Tower (6, 0) --> (6, 4) eaten White King
Player 1 - Random: Black wins. Game finished. 
