Move [0 - Client]: White Horse (0, 1) --> (2, 2)
Move [1 - Random]: Black Pawn (6, 5) --> (5, 5)
Move [2 - Client]: White Horse (0, 6) --> (2, 5)
Move [3 - Random]: Black Pawn (6, 3) --> (5, 3)
Move [4 - Client]: White Pawn (1, 3) --> (3, 3)
Move [5 - Random]: Black Horse (7, 1) --> (5, 2)
Move [6 - Client]: White Bishop (0, 2) --> (2, 4)
Move [7 - Random]: Black Pawn (6, 6) --> (4, 6)
Move [8 - Client]: White Bishop (2, 4) --> (4, 6) eaten Black Pawn
Move [9 - Random]: Black Pawn (5, 5) --> (4, 5)
Move [10 - Client]: White Bishop (4, 6) --> (6, 4) eaten Black Pawn
Move [11 - Random]: Black Bishop (7, 5) --> (6, 4) eaten White Bishop
Move [12 - Client]: White Pawn (1, 4) --> (3, 4)
Move [13 - Random]: Black Pawn (6, 1) --> (4, 1)
Move [14 - Client]: White Bishop (0, 5) --> (4, 1) eaten Black Pawn
Move [15 - Random]: Black Horse (5, 2) --> (4, 4)
Move [16 - Client]: White Tower (0, 0) --> (0, 1)
Move [17 - Random]: Black Pawn (6, 0) --> (5, 0)
Move [18 - Client]: White Tower (0, 1) --> (0, 0)
Move [19 - Random]: Black Bishop (7, 2) --> (6, 3)
Move [20 - Client]: White Bishop (4, 1) --> (6, 3) eaten Black Bishop
Move [21 - Random]: Black Pawn (6, 7) --> (5, 7)
Move [22 - Client]: White Tower (0, 0) --> (0, 1)
Move [23 - Random]: Black Horse (4, 4) --> (3, 2)
Move [24 - Client]: White Tower (0, 1) --> (0, 0)
Move [25 - Random]: Black King (7, 4) --> (7, 5)
Move [26 - Client]: White Bishop (6, 3) --> (4, 5) eaten Black Pawn
Move [27 - Random]: Black King (7, 5) --> (6, 6)
Move [28 - Client]: White King (0, 4) --> (1, 4)
Move [29 - Random]: Black King (6, 6) --> (6, 7)
Move [30 - Client]: White Tower (0, 0) --> (0, 1)
Move [31 - Random]: Black Queen (7, 3) --> (7, 1)
Move [32 - Client]: White Tower (0, 1) --> (0, 0)
Move [33 - Random]: Black King (6, 7) --> (6, 6)
Move [34 - Client]: White King (1, 4) --> (2, 4)
Move [35 - Random]: Black Tower (7, 7) --> (6, 7)
Move [36 - Client]: White Bishop (4, 5) --> (6, 7) eaten Black Tower
Move [37 - Random]: Black Queen (7, 1) --> (6, 0)
Move [38 - Client]: White Bishop (6, 7) --> (7, 6) eaten Black Horse
Move [39 - Random]: Black Horse (3, 2) --> (1, 1) eaten White Pawn
Move [40 - Client]: White Bishop (7, 6) --> (5, 4)
Move [41 - Random]: Black Pawn (6, 2) --> (5, 2)
Move [42 - Client]: White Tower (0, 0) --> (0, 1)
Move [43 - Random]: Black Tower (7, 0) --> (7, 3)
Move [44 - Client]: White Tower (0, 1) --> (1, 1) eaten Black Horse
Move [45 - Random]: Black Queen (6, 0) --> (7, 0)
Move [46 - Client]: White Horse (2, 2) --> (4, 3)
Move [47 - Random]: Black King (6, 6) --> (7, 5)
Move [48 - Client]: White Horse (4, 3) --> (6, 4) eaten Black Bishop
Move [49 - Random]: Black Pawn (5, 3) --> (4, 3)
Move [50 - Client]: White Horse (6, 4) --> (5, 6)
Move [51 - Random]: Black Pawn (5, 7) --> (4, 7)
Move [52 - Client]: White Tower (1, 1) --> (0, 1)
Move [53 - Random]: Black Pawn (5, 0) --> (4, 0)
Move [54 - Client]: White Tower (0, 1) --> (1, 1)
Move [55 - Random]: Black Pawn (4, 0) --> (3, 0)
Move [56 - Client]: White Tower (1, 1) --> (0, 1)
Move [57 - Random]: Black Pawn (4, 7) --> (3, 7)
Move [58 - Client]: White Tower (0, 1) --> (1, 1)
Move [59 - Random]: Black King (7, 5) --> (6, 4)
Move [60 - Client]: White Tower (1, 1) --> (0, 1)
Move [61 - Random]: Black King (6, 4) --> (6, 3)
Move [62 - Client]: White Tower (0, 1) --> (1, 1)
Move [63 - Random]: Black King (6, 3) --> (6, 4)
Move [64 - Client]: White Tower (1, 1) --> (0, 1)
Move [65 - Random]: Black Queen (7, 0) --> (4, 0)
Move [66 - Client]: White Tower (0, 1) --> (1, 1)
Move [67 - Random]: Black Pawn (3, 7) --> (2, 7)
Move [68 - Client]: White Tower (1, 1) --> (0, 1)
Move [69 - Random]: Black King (6, 4) --> (5, 4) eaten White Bishop
Move [70 - Client]: White Horse (5, 6) --> (3, 5)
Move [71 - Random]: Black Tower (7, 3) --> (7, 5)
Move [72 - Client]: White Tower (0, 1) --> (1, 1)
Move [73 - Random]: Black Queen (4, 0) --> (4, 2)
Move [74 - Client]: White Tower (1, 1) --> (0, 1)
Move [75 - Random]: Black Queen (4, 2) --> (3, 1)
Move [76 - Client]: White Tower (0, 1) --> (1, 1)
Move [77 - Random]: Black Tower (7, 5) --> (7, 1)
Move [78 - Client]: White Tower (1, 1) --> (0, 1)
Move [79 - Random]: Black Queen (3, 1) --> (3, 2)
Move [80 - Client]: White Tower (0, 1) --> (1, 1)
Move [81 - Random]: Black Tower (7, 1) --> (7, 4)
Move [82 - Client]: White Tower (1, 1) --> (0, 1)
Move [83 - Random]: Black Tower (7, 4) --> (6, 4)
Move [84 - Client]: White Tower (0, 1) --> (1, 1)
Move [85 - Random]: Black King (5, 4) --> (5, 5)
Move [86 - Client]: White Horse (3, 5) --> (4, 7)
Move [87 - Random]: Black King (5, 5) --> (5, 6)
Move [88 - Client]: White Horse (4, 7) --> (3, 5)
Move [89 - Random]: Black Tower (6, 4) --> (6, 2)
Move [90 - Client]: White Tower (1, 1) --> (0, 1)
Move [91 - Random]: Black Pawn (5, 2) --> (4, 2)
Move [92 - Client]: White Tower (0, 1) --> (1, 1)
Move [93 - Random]: Black Tower (6, 2) --> (6, 3)
Move [94 - Client]: White Tower (1, 1) --> (0, 1)
Move [95 - Random]: Black Tower (6, 3) --> (6, 2)
Move [96 - Client]: White Tower (0, 1) --> (1, 1)
Move [97 - Random]: Black Queen (3, 2) --> (2, 1)
Move [98 - Client]: White Tower (1, 1) --> (0, 1)
Move [99 - Random]: Black King (5, 6) --> (4, 7)
Move [100 - Client]: White Tower (0, 1) --> (1, 1)
