Move [0 - Gui]: White Horse (0, 1) --> (2, 2)
Move [1 - 1_Prof]: Black Pawn (6, 5) --> (4, 5)
Move [2 - Gui]: White Horse (0, 6) --> (2, 5)
Move [3 - 1_Prof]: Black Horse (7, 1) --> (5, 0)
Move [4 - Gui]: White Pawn (1, 3) --> (3, 3)
Move [5 - 1_Prof]: Black Horse (5, 0) --> (3, 1)
Move [6 - Gui]: White Pawn (1, 4) --> (3, 4)
Move [7 - 1_Prof]: Black Pawn (4, 5) --> (3, 4) eaten White Pawn
Move [8 - Gui]: White Horse (2, 2) --> (3, 4) eaten Black Pawn
Move [9 - 1_Prof]: Black Pawn (6, 0) --> (4, 0)
Move [10 - Gui]: White Bishop (0, 2) --> (2, 4)
Move [11 - 1_Prof]: Black Pawn (6, 3) --> (4, 3)
Move [12 - Gui]: White Bishop (0, 5) --> (2, 3)
Move [13 - 1_Prof]: Black Pawn (4, 3) --> (3, 4) eaten White Horse
Move [14 - Gui]: White Bishop (2, 3) --> (3, 4) eaten Black Pawn
Move [15 - 1_Prof]: Black Bishop (7, 2) --> (3, 6)
Move [16 - Gui]: White Bishop (3, 4) --> (6, 1) eaten Black Pawn
Move [17 - 1_Prof]: Black Tower (7, 0) --> (6, 0)
Move [18 - Gui]: White Queen (0, 3) --> (2, 3)
Move [19 - 1_Prof]: Black Horse (3, 1) --> (2, 3) eaten White Queen
Move [20 - Gui]: White Pawn (1, 2) --> (2, 3) eaten Black Horse
Move [21 - 1_Prof]: Black Bishop (3, 6) --> (2, 5) eaten White Horse
Move [22 - Gui]: White Bishop (6, 1) --> (2, 5) eaten Black Bishop
Move [23 - 1_Prof]: Black Queen (7, 3) --> (5, 3)
Move [24 - Gui]: White King (0, 4) --> (0, 5)
Move [25 - 1_Prof]: Black Queen (5, 3) --> (3, 1)
Move [26 - Gui]: White King (0, 5) --> (0, 6)
Move [27 - 1_Prof]: Black Queen (3, 1) --> (1, 1) eaten White Pawn
Move [28 - Gui]: White Tower (0, 0) --> (0, 3)
Move [29 - 1_Prof]: Black Queen (1, 1) --> (1, 0) eaten White Pawn
Move [30 - Gui]: White Pawn (3, 3) --> (4, 3)
Move [31 - 1_Prof]: Black Tower (6, 0) --> (5, 0)
Move [32 - Gui]: White Pawn (2, 3) --> (3, 3)
Move [33 - 1_Prof]: Black Horse (7, 6) --> (5, 5)
Move [34 - Gui]: White Pawn (4, 3) --> (5, 3)
Move [35 - 1_Prof]: Black Pawn (6, 2) --> (5, 3) eaten White Pawn
Move [36 - Gui]: White Pawn (3, 3) --> (4, 3)
Move [37 - 1_Prof]: Black Pawn (6, 4) --> (4, 4)
Move [38 - Gui]: White Tower (0, 3) --> (0, 4)
Move [39 - 1_Prof]: Black King (7, 4) --> (6, 4)
Move [40 - Gui]: White Tower (0, 4) --> (0, 3)
Move [41 - 1_Prof]: Black Pawn (4, 0) --> (3, 0)
Move [42 - Gui]: White Pawn (1, 7) --> (3, 0) eaten Black Pawn
Move [43 - 1_Prof]: Black Tower (5, 0) --> (3, 0) eaten White Pawn
Move [44 - Gui]: White Tower (0, 7) --> (6, 7) eaten Black Pawn
Move [45 - 1_Prof]: Black Tower (7, 7) --> (6, 7) eaten White Tower
Move [46 - Gui]: White Tower (0, 3) --> (0, 4)
Move [47 - 1_Prof]: Black Tower (6, 7) --> (3, 7)
Move [48 - Gui]: White Tower (0, 4) --> (0, 3)
Move [49 - 1_Prof]: Black Tower (3, 0) --> (2, 0)
Move [50 - Gui]: White Tower (0, 3) --> (0, 4)
Move [51 - 1_Prof]: Black Pawn (6, 6) --> (5, 6)
Move [52 - Gui]: White Tower (0, 4) --> (0, 3)
Move [53 - 1_Prof]: Black Bishop (7, 5) --> (6, 6)
Move [54 - Gui]: White Tower (0, 3) --> (0, 4)
Move [55 - 1_Prof]: Black Tower (2, 0) --> (2, 1)
Move [56 - Gui]: White Tower (0, 4) --> (0, 3)
