Move [0 - Gui]: White Horse (0, 1) --> (2, 2)
Move [1 - RandomPlays]: Black Pawn (6, 6) --> (5, 6)
Move [2 - Gui]: White Horse (0, 6) --> (2, 5)
Move [3 - RandomPlays]: Black Pawn (6, 1) --> (5, 1)
Move [4 - Gui]: White Pawn (1, 3) --> (3, 3)
Move [5 - RandomPlays]: Black Bishop (7, 5) --> (6, 6)
Move [6 - Gui]: White Pawn (1, 4) --> (3, 4)
Move [7 - RandomPlays]: Black Bishop (6, 6) --> (4, 4)
Move [8 - Gui]: White Horse (2, 5) --> (4, 4) eaten Black Bishop
Move [9 - RandomPlays]: Black Pawn (6, 2) --> (5, 2)
Move [10 - Gui]: White Horse (4, 4) --> (6, 5) eaten Black Pawn
Move [11 - RandomPlays]: Black Horse (7, 6) --> (5, 7)
Move [12 - Gui]: White Horse (6, 5) --> (7, 3) eaten Black Queen
Move [13 - RandomPlays]: Black Horse (5, 7) --> (4, 5)
Move [14 - Gui]: White Pawn (3, 4) --> (4, 5) eaten Black Horse
Move [15 - RandomPlays]: Black Pawn (6, 0) --> (5, 0)
Move [16 - Gui]: White Horse (7, 3) --> (5, 2) eaten Black Pawn
Move [17 - RandomPlays]: Black Tower (7, 7) --> (7, 6)
Move [18 - Gui]: White Horse (5, 2) --> (7, 1) eaten Black Horse
Move [19 - RandomPlays]: Black Tower (7, 6) --> (7, 7)
Move [20 - Gui]: White Horse (7, 1) --> (6, 3) eaten Black Pawn
Move [21 - RandomPlays]: Black Tower (7, 0) --> (7, 1)
Move [22 - Gui]: White Horse (6, 3) --> (7, 1) eaten Black Tower
Move [23 - RandomPlays]: Black Tower (7, 7) --> (7, 6)
Move [24 - Gui]: White Horse (7, 1) --> (5, 0) eaten Black Pawn
Move [25 - RandomPlays]: Black Tower (7, 6) --> (6, 6)
Move [26 - Gui]: White Pawn (4, 5) --> (5, 6) eaten Black Pawn
Move [27 - RandomPlays]: Black Pawn (6, 7) --> (5, 6) eaten White Pawn
Move [28 - Gui]: White Horse (5, 0) --> (4, 2)
Move [29 - RandomPlays]: Black Pawn (6, 4) --> (5, 4)
Move [30 - Gui]: White Horse (4, 2) --> (5, 4) eaten Black Pawn
Move [31 - RandomPlays]: Black King (7, 4) --> (6, 4)
Move [32 - Gui]: White Horse (5, 4) --> (6, 6) eaten Black Tower
Move [33 - RandomPlays]: Black King (6, 4) --> (6, 3)
Move [34 - Gui]: White Horse (6, 6) --> (4, 5)
Move [35 - RandomPlays]: Black King (6, 3) --> (7, 4)
Move [36 - Gui]: White Bishop (0, 2) --> (2, 4)
Move [37 - RandomPlays]: Black King (7, 4) --> (7, 3)
Move [38 - Gui]: White Bishop (0, 5) --> (2, 3)
Move [39 - RandomPlays]: Black Pawn (5, 6) --> (4, 6)
Move [40 - Gui]: White Bishop (2, 4) --> (4, 6) eaten Black Pawn
Move [41 - RandomPlays]: Black King (7, 3) --> (6, 3)
Move [42 - Gui]: White Horse (2, 2) --> (3, 4)
Move [43 - RandomPlays]: Black King (6, 3) --> (6, 4)
Move [44 - Gui]: White Bishop (4, 6) --> (6, 4) eaten Black King
Player 0 - Gui: White wins. Game finished. 
