Move [0 - MeuClient]: White Pawn (1, 3) --> (3, 3)
Move [1 - 1_ProfClient]: Black Pawn (6, 5) --> (4, 5)
Move [2 - MeuClient]: White Horse (0, 1) --> (2, 2)
Move [3 - 1_ProfClient]: Black Horse (7, 1) --> (5, 0)
Move [4 - MeuClient]: White Bishop (0, 2) --> (3, 5)
Move [5 - 1_ProfClient]: Black Pawn (6, 2) --> (5, 2)
Move [6 - MeuClient]: White Horse (0, 6) --> (2, 5)
Move [7 - 1_ProfClient]: Black Queen (7, 3) --> (4, 0)
Move [8 - MeuClient]: White Pawn (1, 4) --> (3, 4)
Move [9 - 1_ProfClient]: Black Horse (5, 0) --> (3, 1)
Move [10 - MeuClient]: White Pawn (3, 4) --> (4, 5) eaten Black Pawn
Move [11 - 1_ProfClient]: Black Queen (4, 0) --> (4, 5) eaten White Pawn
Move [12 - MeuClient]: White Bishop (0, 5) --> (2, 3)
Move [13 - 1_ProfClient]: Black Queen (4, 5) --> (3, 5) eaten White Bishop
Move [14 - MeuClient]: White Bishop (2, 3) --> (6, 7) eaten Black Pawn
Move [15 - 1_ProfClient]: Black Horse (7, 6) --> (5, 5)
Move [16 - MeuClient]: White Bishop (6, 7) --> (3, 4)
Move [17 - 1_ProfClient]: Black Tower (7, 7) --> (4, 7)
Move [18 - MeuClient]: White Bishop (3, 4) --> (5, 2) eaten Black Pawn
Move [19 - 1_ProfClient]: Black Pawn (6, 1) --> (5, 2) eaten White Bishop
Move [20 - MeuClient]: White Horse (2, 2) --> (3, 4)
Move [21 - 1_ProfClient]: Black Horse (5, 5) --> (3, 4) eaten White Horse
Move [22 - MeuClient]: White Queen (0, 3) --> (2, 3)
Move [23 - 1_ProfClient]: Black Horse (3, 1) --> (2, 3) eaten White Queen
Move [24 - MeuClient]: White Pawn (1, 2) --> (2, 3) eaten Black Horse
Move [25 - 1_ProfClient]: Black Horse (3, 4) --> (5, 5)
Move [26 - MeuClient]: White King (0, 4) --> (0, 5)
Move [27 - 1_ProfClient]: Black Bishop (7, 2) --> (5, 0)
Move [28 - MeuClient]: White King (0, 5) --> (0, 6)
Move [29 - 1_ProfClient]: Black Bishop (5, 0) --> (2, 3) eaten White Pawn
Move [30 - MeuClient]: White Horse (2, 5) --> (4, 4)
Move [31 - 1_ProfClient]: Black Bishop (2, 3) --> (1, 4)
Move [32 - MeuClient]: White Horse (4, 4) --> (5, 2) eaten Black Pawn
Move [33 - 1_ProfClient]: Black Pawn (6, 3) --> (5, 2) eaten White Horse
Move [34 - MeuClient]: White Tower (0, 0) --> (0, 3)
Move [35 - 1_ProfClient]: Black Bishop (1, 4) --> (0, 3) eaten White Tower
Move [36 - MeuClient]: White Pawn (3, 3) --> (4, 3)
Move [37 - 1_ProfClient]: Black Horse (5, 5) --> (4, 3) eaten White Pawn
Move [38 - MeuClient]: White Pawn (1, 0) --> (2, 0)
Move [39 - 1_ProfClient]: Black Queen (3, 5) --> (0, 2)
Move [40 - MeuClient]: White Pawn (1, 7) --> (2, 7)
Move [41 - 1_ProfClient]: Black Queen (0, 2) --> (1, 1) eaten White Pawn
Move [42 - MeuClient]: White Tower (0, 7) --> (1, 7)
Move [43 - 1_ProfClient]: Black Queen (1, 1) --> (2, 0) eaten White Pawn
Move [44 - MeuClient]: White Tower (1, 7) --> (0, 7)
Move [45 - 1_ProfClient]: Black Queen (2, 0) --> (0, 0)
Move [46 - MeuClient]: White Tower (0, 7) --> (1, 7)
Move [47 - 1_ProfClient]: Black Horse (4, 3) --> (2, 2)
Move [48 - MeuClient]: White Tower (1, 7) --> (0, 7)
Move [49 - 1_ProfClient]: Black Horse (2, 2) --> (0, 1)
Move [50 - MeuClient]: White Tower (0, 7) --> (1, 7)
Move [51 - 1_ProfClient]: Black Pawn (6, 0) --> (4, 0)
Move [52 - MeuClient]: White Pawn (2, 7) --> (4, 0) eaten Black Pawn
Move [53 - 1_ProfClient]: Black Tower (4, 7) --> (4, 0) eaten White Pawn
Move [54 - MeuClient]: White Tower (1, 7) --> (6, 7)
Move [55 - 1_ProfClient]: Black Tower (4, 0) --> (1, 0)
Move [56 - MeuClient]: White Tower (6, 7) --> (6, 6) eaten Black Pawn
Move [57 - 1_ProfClient]: Black Bishop (7, 5) --> (6, 6) eaten White Tower
Move [58 - MeuClient]: White King (0, 6) --> (0, 7)
Move [59 - 1_ProfClient]: Black Tower (1, 0) --> (1, 5) eaten White Pawn
Move [60 - MeuClient]: White King (0, 7) --> (0, 6)
Move [61 - 1_ProfClient]: Black Tower (1, 5) --> (1, 4)
Move [62 - MeuClient]: White King (0, 6) --> (0, 7)
Move [63 - 1_ProfClient]: Black Tower (7, 0) --> (1, 0)
Move [64 - MeuClient]: White King (0, 7) --> (0, 6)
Move [65 - 1_ProfClient]: Black Bishop (6, 6) --> (1, 1)
Move [66 - MeuClient]: White King (0, 6) --> (0, 7)
Move [67 - 1_ProfClient]: Black Pawn (6, 4) --> (4, 4)
Move [68 - MeuClient]: White King (0, 7) --> (0, 6)
Move [69 - 1_ProfClient]: Black King (7, 4) --> (6, 4)
Move [70 - MeuClient]: White King (0, 6) --> (0, 7)
Move [71 - 1_ProfClient]: Black King (6, 4) --> (5, 4)
Move [72 - MeuClient]: White King (0, 7) --> (0, 6)
Move [73 - 1_ProfClient]: Black King (5, 4) --> (4, 5)
Move [74 - MeuClient]: White King (0, 6) --> (0, 7)
Move [75 - 1_ProfClient]: Black King (4, 5) --> (3, 6)
Move [76 - MeuClient]: White King (0, 7) --> (0, 6)
Move [77 - 1_ProfClient]: Black Bishop (1, 1) --> (0, 2)
Move [78 - MeuClient]: White King (0, 6) --> (0, 7)
Move [79 - 1_ProfClient]: Black Tower (1, 4) --> (0, 4)
Move [80 - MeuClient]: White King (0, 7) --> (0, 6)
Move [81 - 1_ProfClient]: Black Tower (0, 4) --> (0, 6) eaten White King
Player 1 - 1_ProfClient: Black wins. Game finished. 
