Move [0 - ROBO]: White Pawn (1, 3) --> (3, 3)
Move [1 - MAQUINA]: Black Pawn (6, 4) --> (5, 4)
Move [2 - ROBO]: White Pawn (1, 4) --> (3, 4)
Move [3 - MAQUINA]: Black Bishop (7, 5) --> (5, 3)
Move [4 - ROBO]: White Bishop (0, 2) --> (4, 6)
Move [5 - MAQUINA]: Black Pawn (6, 2) --> (4, 2)
Move [6 - ROBO]: White Bishop (4, 6) --> (7, 3) eaten Black Queen
Move [7 - MAQUINA]: Black Pawn (6, 3) --> (4, 3)
Move [8 - ROBO]: White Pawn (3, 4) --> (4, 3) eaten Black Pawn
Move [9 - MAQUINA]: Black Pawn (6, 7) --> (4, 7)
Move [10 - ROBO]: White Queen (0, 3) --> (4, 7) eaten Black Pawn
Move [11 - MAQUINA]: Black Tower (7, 7) --> (6, 7)
Move [12 - ROBO]: White Queen (4, 7) --> (6, 7) eaten Black Tower
Move [13 - MAQUINA]: Black Horse (7, 1) --> (5, 0)
Move [14 - ROBO]: White Queen (6, 7) --> (7, 6) eaten Black Horse
Move [15 - MAQUINA]: Black King (7, 4) --> (6, 3)
Move [16 - ROBO]: White Pawn (4, 3) --> (5, 4) eaten Black Pawn
Move [17 - MAQUINA]: Black Pawn (6, 5) --> (4, 5)
Move [18 - ROBO]: White Bishop (7, 3) --> (6, 4)
Move [19 - MAQUINA]: Black Bishop (5, 3) --> (7, 1)
Move [20 - ROBO]: White Horse (0, 1) --> (1, 3)
Move [21 - MAQUINA]: Black Horse (5, 0) --> (3, 1)
Move [22 - ROBO]: White Tower (0, 0) --> (0, 1)
Move [23 - MAQUINA]: Black Horse (3, 1) --> (5, 0)
Move [24 - ROBO]: White Tower (0, 1) --> (0, 0)
Move [25 - MAQUINA]: Black Pawn (6, 1) --> (5, 1)
Move [26 - ROBO]: White Tower (0, 0) --> (0, 1)
Move [27 - MAQUINA]: Black Bishop (7, 2) --> (6, 1)
Move [28 - ROBO]: White Tower (0, 1) --> (0, 0)
Move [29 - MAQUINA]: Black King (6, 3) --> (6, 2)
Move [30 - ROBO]: White Bishop (6, 4) --> (5, 3)
Move [31 - MAQUINA]: Black King (6, 2) --> (7, 2)
Move [32 - ROBO]: White Queen (7, 6) --> (7, 2) eaten Black King
Player 0 - ROBO: White wins. Game finished. 
